iter	RMSE
0	146903.9786
1	134371.6211
2	123846.3708
3	116373.9888
4	109737.524
5	105115.5127
6	101340.4629
7	98414.38171
8	95870.68955
9	94014.89846
10	92588.78955
11	91500.51859
12	90700.5531
13	90026.33301
14	89224.61492
15	88676.16022
16	88299.73467
17	87871.60706
18	87503.72309
19	87181.90587
20	87020.50529
21	86628.80476
22	86330.57964
23	86135.44018
24	85973.0312
25	85775.8837
26	85517.30261
27	85298.77186
28	85224.81203
29	85031.40527
30	84799.32385
31	84606.78667
32	84426.43819
33	84284.01067
34	84231.65594
35	83993.64991
36	83733.50869
37	83619.14887
38	83485.72642
39	83310.26149
40	83147.29298
41	83003.85068
42	82932.30598
43	82781.99717
44	82609.5437
45	82440.69472
46	82315.84944
47	82195.38961
48	82136.90628
49	81978.9494
50	81869.39001
51	81759.82852
52	81606.14823
53	81511.5484
54	81420.61377
55	81343.67724
56	81241.71275
57	81137.16156
58	81043.95963
59	80948.4574
60	80795.81352
61	80669.51282
62	80600.68874
63	80523.95657
64	80443.00577
65	80390.94685
66	80255.32244
67	80125.59385
68	80008.40485
69	79901.14255
70	79774.69139
71	79709.92962
72	79619.0187
73	79505.41412
74	79411.66484
75	79282.34665
76	79148.74371
77	79075.27532
78	79029.38951
79	78899.89587
80	78866.33677
81	78802.92736
82	78718.5633
83	78639.86913
84	78604.97235
85	78498.71501
86	78459.77012
87	78407.55089
88	78374.74465
89	78317.89623
90	78239.21418
91	78165.1218
92	78113.65586
93	78057.2002
94	78027.86482
95	77924.03904
96	77894.99014
97	77843.36325
98	77815.73368
99	77761.21271
100	77704.938
101	77648.41736
102	77558.93933
103	77479.87976
104	77389.35033
105	77362.01069
106	77326.64836
107	77298.7282
108	77198.13447
109	77117.42865
110	77040.23238
111	77012.50142
112	76983.47077
113	76946.94604
114	76888.67673
115	76850.03752
116	76808.52247
117	76748.77069
118	76708.43997
119	76661.05712
120	76641.73124
121	76580.74339
122	76533.38116
123	76466.04862
124	76417.03928
125	76401.94983
126	76338.04173
127	76290.33745
128	76243.63537
129	76232.77192
130	76183.22077
131	76111.08866
132	76049.66303
133	75978.37627
134	75936.19405
135	75894.45495
136	75867.04546
137	75838.47854
138	75804.69301
139	75734.05093
140	75689.69993
141	75645.21734
142	75594.60154
143	75568.45623
144	75537.81215
145	75477.4619
146	75431.04585
147	75398.79765
148	75350.66186
149	75309.25967
150	75282.7955
151	75249.89192
152	75204.79762
153	75135.14902
154	75092.6423
155	75047.44846
156	75020.81722
157	74958.25236
158	74915.41662
159	74870.38703
160	74819.72246
161	74785.02856
162	74729.54185
163	74693.68527
164	74663.80074
165	74610.8569
166	74592.66188
167	74534.22518
168	74475.97204
169	74442.31734
170	74434.49608
171	74392.27264
172	74346.39259
173	74296.7546
174	74270.47979
175	74267.11386
176	74218.87489
177	74150.53057
178	74102.36624
179	74065.41142
180	74018.0204
181	73997.30282
182	73970.33466
183	73950.34797
184	73873.17186
185	73790.70902
186	73745.82541
187	73702.35285
188	73665.54482
189	73638.15823
190	73607.38485
191	73577.51544
192	73524.4265
193	73504.35681
194	73435.40073
195	73416.91111
196	73362.85121
197	73349.44755
198	73314.05268
199	73285.4692
200	73236.50048
201	73211.18432
202	73198.57777
203	73171.98045
204	73145.97982
205	73129.49641
206	73094.13242
207	73064.47718
208	73024.8215
209	72967.84473
210	72931.92924
211	72887.92106
212	72856.39438
213	72841.51691
214	72802.98199
215	72772.28992
216	72744.1214
217	72699.39616
218	72684.07274
219	72644.10588
220	72596.90316
221	72545.76171
222	72506.9176
223	72481.57103
224	72467.29042
225	72447.52392
226	72438.88164
227	72400.93841
228	72373.09684
229	72358.21666
230	72282.18768
231	72261.55739
232	72241.21916
233	72228.22266
234	72187.99178
235	72119.63684
236	72087.02375
237	72018.96947
238	71992.82339
239	71960.65562
240	71895.95844
241	71878.96061
242	71847.08181
243	71822.25445
244	71799.61285
245	71769.61726
246	71735.8752
247	71717.49335
248	71692.58882
249	71673.72719
250	71649.45806
251	71612.68342
252	71573.59386
253	71543.35777
254	71501.32126
255	71472.34606
256	71426.95059
257	71409.91269
258	71399.38125
259	71386.04024
260	71370.21328
261	71347.79099
262	71313.97723
263	71305.80994
264	71296.60586
265	71265.35794
266	71226.51214
267	71193.94099
268	71177.46807
269	71154.98156
270	71107.07339
271	71094.16325
272	71078.81521
273	71035.66178
274	70998.85607
275	70958.10517
276	70935.27924
277	70883.79345
278	70839.08382
279	70793.93598
280	70763.70774
281	70748.28541
282	70723.92901
283	70701.02956
284	70666.70129
285	70642.48721
286	70597.63252
287	70587.53681
288	70566.72349
289	70554.21557
290	70524.87101
291	70504.48995
292	70480.04265
293	70450.04686
294	70438.35623
295	70422.35789
296	70409.43708
297	70370.38242
298	70342.1487
299	70313.31184
300	70300.33935
301	70243.90413
302	70222.42669
303	70175.97843
304	70149.23417
305	70125.02078
306	70112.42125
307	70073.96526
308	70053.65363
309	70007.09464
310	69984.26767
311	69947.06682
312	69914.91766
313	69901.27852
314	69867.58034
315	69839.78462
316	69806.10172
317	69780.77672
318	69749.50753
319	69715.71231
320	69684.50833
321	69663.51475
322	69656.35861
323	69628.04527
324	69609.46748
325	69590.1707
326	69579.33514
327	69529.84782
328	69513.56818
329	69502.79212
330	69477.03166
331	69434.34796
332	69411.43449
333	69387.02191
334	69378.93556
335	69364.64761
336	69356.80093
337	69349.17759
338	69320.05247
339	69306.28616
340	69274.52247
341	69253.00682
342	69224.75404
343	69202.86656
344	69190.87943
345	69162.23323
346	69131.16724
347	69104.49981
348	69088.5721
349	69078.05672
350	69051.06194
351	69024.50904
352	69003.09813
353	68996.65998
354	68982.27782
355	68958.38509
356	68939.12025
357	68911.43141
358	68896.20343
359	68860.61576
360	68853.7727
361	68824.97062
362	68799.44831
363	68782.87489
364	68771.58717
365	68734.73863
366	68702.33281
367	68671.33301
368	68656.36121
369	68635.81488
370	68602.32481
371	68585.50868
372	68559.94592
373	68531.67817
374	68515.6003
375	68490.42212
376	68473.34985
377	68445.92534
378	68409.30823
379	68376.92365
380	68345.29814
381	68326.05659
382	68303.76928
383	68294.93382
384	68267.12918
385	68245.62832
386	68242.11525
387	68232.95548
388	68214.2123
389	68184.50977
390	68155.50565
391	68122.02702
392	68098.59732
393	68079.4989
394	68037.83947
395	68018.24149
396	68005.59682
397	67978.90342
398	67947.56222
399	67929.34363
400	67907.2211
401	67875.4602
402	67859.82189
403	67836.12252
404	67830.43014
405	67821.42318
