iter	Passed	Remaining
0	61	123491
1	78	78511
2	97	65139
3	116	58082
4	137	54668
5	156	52001
6	179	50971
7	194	48372
8	209	46424
9	224	44735
10	238	43123
11	252	41792
12	265	40571
13	278	39495
14	290	38399
15	303	37687
16	319	37256
17	331	36474
18	343	35807
19	355	35215
20	367	34632
21	379	34119
22	392	33716
23	405	33380
24	417	32986
25	427	32491
26	439	32109
27	451	31815
28	464	31547
29	476	31286
30	488	31028
31	501	30823
32	513	30605
33	525	30393
34	537	30172
35	548	29938
36	561	29772
37	573	29586
38	585	29423
39	597	29276
40	609	29113
41	621	28983
42	635	28942
43	647	28786
44	659	28648
45	671	28505
46	682	28375
47	694	28250
48	706	28142
49	718	28025
50	730	27906
51	742	27821
52	754	27702
53	765	27590
54	775	27433
55	788	27355
56	800	27294
57	814	27274
58	827	27221
59	839	27128
60	850	27037
61	860	26908
62	872	26828
63	884	26759
64	896	26688
65	908	26623
66	920	26547
67	931	26475
68	943	26418
69	956	26360
70	968	26304
71	979	26241
72	992	26210
73	1005	26159
74	1016	26089
75	1028	26038
76	1040	25976
77	1051	25912
78	1061	25805
79	1072	25747
80	1084	25692
81	1096	25651
82	1108	25594
83	1119	25536
84	1131	25496
85	1144	25469
86	1156	25423
87	1168	25377
88	1178	25301
89	1190	25262
90	1202	25222
91	1214	25188
92	1226	25141
93	1238	25108
94	1249	25060
95	1259	24988
96	1271	24950
97	1283	24908
98	1298	24930
99	1311	24925
100	1324	24895
101	1335	24853
102	1347	24821
103	1359	24782
104	1369	24719
105	1381	24679
106	1393	24660
107	1405	24626
108	1415	24563
109	1427	24528
110	1437	24463
111	1447	24401
112	1459	24370
113	1471	24348
114	1484	24325
115	1495	24291
116	1507	24257
117	1519	24227
118	1529	24171
119	1541	24144
120	1552	24112
121	1562	24055
122	1574	24025
123	1586	23995
124	1598	23973
125	1608	23916
126	1619	23887
127	1632	23868
128	1645	23863
129	1656	23833
130	1668	23805
131	1679	23771
132	1689	23721
133	1702	23703
134	1713	23672
135	1723	23622
136	1735	23601
137	1747	23572
138	1758	23544
139	1770	23524
140	1782	23505
141	1797	23513
142	1809	23494
143	1821	23478
144	1833	23455
145	1845	23435
146	1855	23387
147	1865	23338
148	1874	23289
149	1887	23274
150	1896	23227
151	1908	23202
152	1920	23185
153	1931	23157
154	1941	23112
155	1951	23070
156	1961	23026
157	1973	23007
158	1986	22998
159	1997	22975
160	2009	22955
161	2019	22911
